"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-01","8.72",",,W","0.00",",,W",,,"50",",,W","33",",,W","  310",",,W","  310",",,W","18.1",",,W","25.9",",,W",,,,,,,"    1",",,W"
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-02","6.49",",,W","0.00",",,W",,,"51",",,W","28",",,W","  240",",,W","  270",",,W","15.0",",,W","19.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-03","7.61",",,W","0.00",",,W",,,"45",",,W","29",",,W","  270",",,W","  250",",,W","15.0",",,W","21.9",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-04","6.49",",,W","0.00",",,W",,,"55",",,W","32",",,W","  310",",,W","  340",",,W","14.1",",,W","19.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-05","10.51",",,W","0.00","T,,W",,,"48",",,W","28",",,W","   70",",,W","   70",",,W","19.9",",,W","28.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-06","8.95",",,W","1.09",",,W",,,"47",",,W","35",",,W","   70",",,W","   70",",,W","19.9",",,W","30.0",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-07","10.96",",,W","0.00","T,,W",,,"48",",,W","35",",,W","  280",",,W","  270",",,W","21.0",",,W","33.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-08","10.96",",,W","0.40",",,W",,,"48",",,W","30",",,W","   90",",,W","   80",",,W","21.9",",,W","35.1",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-09","15.21",",,W","3.40",",,W",,,"52",",,W","37",",,W","  260",",,W","  250",",,W","29.1",",,W","53.9",",,W","    1",",,W",,,"    1",",,W",,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-10","10.51",",,W","0.00","T,,W",,,"46",",,W","35",",,W","  270",",,W","  260",",,W","31.1",",,W","53.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-11","4.70",",,W","0.00",",,W",,,"57",",,W","31",",,W","  260",",,W","  290",",,W","17.0",",,W","23.9",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-12","7.83",",,W","0.74",",,W",,,"45",",,W","37",",,W","   90",",,W","   90",",,W","19.9",",,W","28.0",",,W","    1",",,W","    1",",,W","    1",",,W",,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-13","13.42",",,W","0.00",",,W",,,"46",",,W","30",",,W","  270",",,W","  270",",,W","23.9",",,W","42.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-14","6.49",",,W","0.00",",,W",,,"53",",,W","26",",,W","  260",",,W","  250",",,W","23.0",",,W","31.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-15","3.13",",,W","0.00",",,W",,,"56",",,W","40",",,W","  250",",,W","  230",",,W","14.1",",,W","18.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-16","10.96",",,W","0.14",",,W",,,"48",",,W","18",",,W","  310",",,W","  290",",,W","21.9",",,W","32.0",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-17","8.28",",,W","0.00",",,W",,,"37",",,W","13",",,W","  250",",,W","  250",",,W","14.1",",,W","19.9",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-18","3.58",",,W","0.01",",,W",,,"48",",,W","22",",,W","  240",",,W","  230",",,W","14.1",",,W","19.9",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-19","13.20",",,W","0.03",",,W",,,"43",",,W","24",",,W","  320",",,W","  300",",,W","25.9",",,W","50.1",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-20","12.30",",,W","0.00",",,W",,,"31",",,W","17",",,W","  330",",,W","  300",",,W","19.9",",,W","28.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-21","2.24",",,W","0.00",",,W",,,"40",",,W","13",",,W","  340",",,W","  340",",,W","10.1",",,W","13.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-22","6.26",",,W","0.00",",,W",,,"46",",,W","24",",,W","   80",",,W","  100",",,W","12.1",",,W","19.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-23","8.72",",,W","0.04",",,W",,,"47",",,W","39",",,W","   90",",,W","  100",",,W","15.0",",,W","21.0",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-24","7.83",",,W","1.10",",,W",,,"61",",,W","47",",,W","   90",",,W","   90",",,W","13.0",",,W","19.9",",,W","    1",",,W","    1",",,W",,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-25","4.70",",,W","1.59",",,W",,,"70",",,W","59",",,W","  190",",,W","  190",",,W","10.1",",,W","18.1",",,W","    1",",,W",,,"    1",",,W",,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-26","7.16",",,W","0.00",",,W",,,"69",",,W","57",",,W","  260",",,W","  240",",,W","13.0",",,W","17.0",",,W","    1",",,W","    1",",,W",,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-27","6.93",",,W","1.01",",,W",,,"63",",,W","54",",,W","  250",",,W","  260",",,W","18.1",",,W","27.1",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-28","15.21",",,W","0.00",",,W",,,"58",",,W","41",",,W","  280",",,W","  250",",,W","23.0",",,W","40.9",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-29","10.74",",,W","0.00",",,W",,,"54",",,W","36",",,W","  310",",,W","  310",",,W","18.1",",,W","25.9",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-30","3.80",",,W","0.08",",,W",,,"58",",,W","30",",,W","  250",",,W","  260",",,W","15.0",",,W","23.0",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-31","6.93",",,W","0.02",",,W",,,"54",",,W","38",",,W","  270",",,W","  320",",,W","13.0",",,W","19.0",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-01","4.70",",,W","0.00",",,W",,,"60",",,W","31",",,W","  250",",,W","  240",",,W","12.1",",,W","16.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-02","5.82",",,W","0.00",",,W",,,"70",",,W","43",",,W","  280",",,W","  320",",,W","12.1",",,W","16.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-03","9.17",",,W","0.00",",,W",,,"57",",,W","43",",,W","   90",",,W","   70",",,W","17.0",",,W","25.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-04","14.09",",,W","0.02",",,W",,,"48",",,W","39",",,W","   60",",,W","   70",",,W","25.1",",,W","45.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-05","7.83",",,W","0.01",",,W",,,"62",",,W","42",",,W","   60",",,W","   60",",,W","19.9",",,W","36.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-06","3.80",",,W","0.00",",,W",,,"63",",,W","36",",,W","   90",",,W","   90",",,W","14.1",",,W","19.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-07","4.47",",,W","0.00",",,W",,,"56",",,W","35",",,W","   90",",,W","   90",",,W","14.1",",,W","19.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-08","3.13",",,W","0.00",",,W",,,"55",",,W","34",",,W","  120",",,W","  130",",,W","10.1",",,W","14.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-09","1.57",",,W","0.00",",,W",,,"59",",,W","44",",,W","  330",",,W","  330",",,W","8.9",",,W","12.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-10","0.67",",,W","0.10",",,W",,,"65",",,W","50",",,W","  180",",,W","  150",",,W","6.0",",,W","10.1",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-11","4.92",",,W","0.87",",,W",,,"64",",,W","57",",,W","  310",",,W","  310",",,W","15.0",",,W","19.9",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-12","9.62",",,W","2.29",",,W",,,"59",",,W","48",",,W","  260",",,W","  260",",,W","25.1",",,W","46.1",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-13","13.87",",,W","0.00","T,,W",,,"56",",,W","40",",,W","  280",",,W","  240",",,W","25.1",",,W","42.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-14","4.25",",,W","0.00",",,W",,,"63",",,W","38",",,W","  260",",,W","  270",",,W","12.1",",,W","16.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-15","5.59",",,W","0.00",",,W",,,"65",",,W","36",",,W","  250",",,W","  240",",,W","18.1",",,W","25.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-16","5.82",",,W","0.00","T,,W",,,"63",",,W","46",",,W","  250",",,W","  230",",,W","14.1",",,W","19.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-17","12.30",",,W","0.00","T,,W",,,"57",",,W","35",",,W","  310",",,W","  310",",,W","18.1",",,W","25.9",",,W",,,,,,,"    1",",,W"
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-18","5.82",",,W","0.00",",,W",,,"52",",,W","30",",,W","  320",",,W","  300",",,W","14.1",",,W","21.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-19","4.03",",,W","0.00",",,W",,,"58",",,W","33",",,W","  130",",,W","  100",",,W","10.1",",,W","17.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-20","2.01",",,W","0.00",",,W",,,"60",",,W","33",",,W","  110",",,W","  100",",,W","8.9",",,W","14.1",",,W",,,,,,,"    1",",,W"
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-21","4.25",",,W","0.00",",,W",,,"62",",,W","35",",,W","  100",",,W","  140",",,W","10.1",",,W","17.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-22","6.49",",,W","0.10",",,W",,,"68",",,W","39",",,W","  260",",,W","  240",",,W","16.1",",,W","25.1",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-23","4.92",",,W","0.54",",,W",,,"65",",,W","49",",,W","  310",",,W","  320",",,W","21.0",",,W","29.1",",,W","    1",",,W",,,"    1",",,W",,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-24","11.41",",,W","0.00",",,W",,,"61",",,W","39",",,W","  310",",,W","  290",",,W","25.9",",,W","52.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-25","1.79",",,W","0.00",",,W",,,"61",",,W","29",",,W","  310",",,W","  320",",,W","6.9",",,W","10.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-26","4.70",",,W","0.00",",,W",,,"72",",,W","39",",,W","  190",",,W","  240",",,W","13.0",",,W","25.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-27","5.37",",,W","0.01",",,W",,,"69",",,W","54",",,W","  210",",,W","  210",",,W","8.1",",,W","21.9",",,W",,,,,,,"    1",",,W"
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-28","12.30",",,W","0.20",",,W",,,"75",",,W","41",",,W","  280",",,W","  290",",,W","32.0",",,W","55.9",",,W","    1",",,W",,,"    1",",,W",,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-02-29","4.70",",,W","0.00",",,W",,,"52",",,W","37",",,W","   90",",,W","  320",",,W","10.1",",,W","14.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-01","11.18",",,W","1.59",",,W",,,"46",",,W","37",",,W","  100",",,W","  100",",,W","23.9",",,W","33.1",",,W","    1",",,W",,,"    1",",,W",,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-02","3.80",",,W","0.00","T,,W",,,"63",",,W","44",",,W","   80",",,W","   80",",,W","13.0",",,W","19.0",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-03","2.91",",,W","0.00",",,W",,,"72",",,W","47",",,W","  350",",,W","  360",",,W","10.1",",,W","15.0",",,W","    1",",,W","    1",",,W",,,"    1",",,W"
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-04","4.70",",,W","0.00",",,W",,,"72",",,W","55",",,W","  100",",,W","  110",",,W","12.1",",,W","14.1",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-05","6.49",",,W","0.39",",,W",,,"64",",,W","55",",,W","   90",",,W","  160",",,W","15.0",",,W","25.1",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-06","8.05",",,W","1.76",",,W",,,"59",",,W","53",",,W","   70",",,W","   70",",,W","17.0",",,W","25.9",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-07","4.70",",,W","0.00",",,W",,,"74",",,W","51",",,W","  120",",,W","  120",",,W","12.1",",,W","16.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-08","9.84",",,W","1.06",",,W",,,"63",",,W","55",",,W","   90",",,W","   70",",,W","21.0",",,W","32.0",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-09","10.74",",,W","0.37",",,W",,,"63",",,W","49",",,W","  300",",,W","  290",",,W","21.0",",,W","32.0",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-10","14.32",",,W","0.00",",,W",,,"58",",,W","40",",,W","  290",",,W","  330",",,W","23.9",",,W","36.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-11","6.26",",,W","0.00",",,W",,,"64",",,W","33",",,W","  320",",,W","  320",",,W","14.1",",,W","21.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-12","6.71",",,W","0.00",",,W",,,"71",",,W","40",",,W","  250",",,W","  260",",,W","15.0",",,W","21.9",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-13","6.04",",,W","0.00",",,W",,,"73",",,W","43",",,W","  240",",,W","  260",",,W","17.0",",,W","25.9",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-14","3.13",",,W","0.00",",,W",,,"79",",,W","49",",,W","  280",",,W","  260",",,W","13.0",",,W","19.9",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-15","6.71",",,W","0.30",",,W",,,"70",",,W","59",",,W","  320",",,W","  320",",,W","18.1",",,W","29.1",",,W","    1",",,W",,,"    1",",,W",,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-16","8.50",",,W","0.00",",,W",,,"69",",,W","55",",,W","  250",",,W","  250",",,W","17.0",",,W","23.0",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-17","9.40",",,W","0.00","T,,W",,,"70",",,W","51",",,W","  250",",,W","  270",",,W","18.1",",,W","25.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-18","12.08",",,W","0.00",",,W",,,"57",",,W","37",",,W","  280",",,W","  300",",,W","23.9",",,W","38.9",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-19","10.51",",,W","0.00",",,W",,,"57",",,W","32",",,W","  250",",,W","  240",",,W","19.9",",,W","28.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-20","9.40",",,W","0.00",",,W",,,"73",",,W","43",",,W","  250",",,W","  250",",,W","21.0",",,W","32.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-21","3.36",",,W","0.00",",,W",,,"76",",,W","49",",,W","  290",",,W","  310",",,W","12.1",",,W","18.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-22","11.63",",,W","0.58",",,W",,,"63",",,W","53",",,W","   90",",,W","   70",",,W","19.9",",,W","31.1",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-23","9.84",",,W","0.01",",,W",,,"70",",,W","48",",,W","  320",",,W","  320",",,W","19.9",",,W","33.1",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-24","9.62",",,W","0.00",",,W",,,"62",",,W","38",",,W","  100",",,W","   90",",,W","17.0",",,W","25.9",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-25","13.87",",,W","0.00",",,W",,,"60",",,W","43",",,W","   90",",,W","   50",",,W","21.9",",,W","34.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-26","9.84",",,W","0.76",",,W",,,"55",",,W","50",",,W","   70",",,W","   60",",,W","19.9",",,W","33.1",",,W","    1",",,W",,,"    1",",,W",,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-27","4.70",",,W","0.00",",,W",,,"73",",,W","52",",,W","  280",",,W","  240",",,W","16.1",",,W","23.0",",,W","    1",",,W","    1",",,W",,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-28","9.62",",,W","0.00",",,W",,,"70",",,W","50",",,W","  300",",,W","  310",",,W","21.0",",,W","33.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-29","5.82",",,W","0.00",",,W",,,"70",",,W","41",",,W","  250",",,W","  250",",,W","17.0",",,W","23.9",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-30","7.38",",,W","0.00",",,W",,,"75",",,W","44",",,W","  250",",,W","  240",",,W","19.9",",,W","29.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-03-31","7.61",",,W","0.00",",,W",,,"77",",,W","53",",,W","  250",",,W","  240",",,W","18.1",",,W","28.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-04-01","6.71",",,W","0.00",",,W",,,"74",",,W","61",",,W","  260",",,W","  240",",,W","15.0",",,W","19.9",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-04-02","7.61",",,W","0.26",",,W",,,"79",",,W","63",",,W","  250",",,W","  240",",,W","18.1",",,W","25.1",",,W","    1",",,W",,,"    1",",,W",,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-04-03","13.87",",,W","0.27",",,W",,,"65",",,W","48",",,W","  260",",,W","  240",",,W","25.9",",,W","45.0",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-04-04",,,"0.00",",,D",,,"60",",,D","42",",,D",,,,,,,,,,,,,,,,
